"id","name","img_url"
1,"JavaScript","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/javascript/javascript-original.svg"
2,"TypeScript","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/typescript/typescript-original.svg"
3,"React","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/react/react-original.svg"
4,"Next.js","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/nextjs/nextjs-original.svg"
5,"NestJS","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/nestjs/nestjs-plain.svg"
6,"Vue.js","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/vuejs/vuejs-original.svg"
7,"Nuxt.js","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/nuxtjs/nuxtjs-original.svg"
8,"Python","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/python/python-original.svg"
9,"Django","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/django/django-plain.svg"
10,"FastAPI","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/fastapi/fastapi-original.svg"
11,"Java","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/java/java-original.svg"
12,"Spring Framework","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/spring/spring-original.svg"
13,"C++","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/cplusplus/cplusplus-original.svg"
14,"C#","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/csharp/csharp-original.svg"
15,".NET","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/dotnetcore/dotnetcore-original.svg"
16,"PHP","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/php/php-original.svg"
17,"Laravel","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/laravel/laravel-plain.svg"
18,"Ruby","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/ruby/ruby-original.svg"
19,"Ruby on Rails","https://cdn.jsdelivr.net/gh/devicons/devicon/icons/rails/rails-original-wordmark.svg"
